danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.752,0.698,-6.53,0.306,0.52,0.0,0.211,0.347,132.058,0g21KZ1XJuhwexWPLpuEt1,159453
0.832,0.738,-4.417,0.0783,0.258,1.49e-05,0.22,0.49,127.874,3fMNMAP51H7NywqzoukIRy,133876
0.603,0.512,-6.687,0.0402,0.454,0.00014,0.154,0.271,145.91,4xb8JHIN56xixSl6vkSPjm,200267
0.321,0.705,-5.41,0.0943,0.17,0.0,0.0514,0.302,62.013,0O8feNuKk5rTTip2bTyOoC,184923
0.477,0.128,-14.567,0.0707,0.928,0.0,0.0875,0.38,88.917,51xRMJFRBrW9C1RI1qW4S0,238576
0.424,0.701,-5.18,0.0335,0.00329,4.13e-05,0.0828,0.478,176.016,4CkDow0SS3hQvsuvfLESlo,184324
0.476,0.652,-4.546,0.104,0.23,0.0,0.136,0.47,190.118,2D0FX6WiP1GKGL3yCdXxs7,184659
0.742,0.612,-5.685,0.0831,0.0865,0.0,0.0441,0.691,95.017,72vVa7iyvVtjeaNDJfVBYq,164211
0.643,0.698,-5.488,0.0571,0.197,0.0,0.112,0.353,130.916,1ORwrvXGsLGVqabn0minCr,188702
0.819,0.487,-8.447,0.157,0.485,0.000144,0.0965,0.345,137.938,5ZSV1Y3Cq2HkGOYOwxpClP,167248
0.69,0.663,-5.248,0.0352,0.106,0.0,0.0659,0.285,122.041,0Xm8tw6qikotb8FAOZ2ks7,213695
0.779,0.509,-7.454,0.055,0.118,0.00131,0.0701,0.834,79.975,3sKvfd1yKBEbAHQ7FKBJm2,177571
0.789,0.516,-8.371,0.0704,0.0144,8.4e-06,0.362,0.522,117.025,3swlYCo5DAjff844G6Quwp,156766
0.638,0.755,-5.614,0.0682,0.362,3.09e-06,0.329,0.739,169.953,1xFkcJjWuLlq8CIymwSTw9,140111
0.644,0.702,-5.699,0.219,0.00463,0.0,0.17,0.831,96.095,7sUDunSJDK8HnFPJOCtPef,186462
0.443,0.551,-5.667,0.026,0.121,0.0,0.334,0.683,168.099,4hk4plGoAmg3naYTq8EUul,163852
0.666,0.265,-12.129,0.166,0.907,0.0,0.123,0.332,85.335,3CvfUOkWsfTr7ZIjl6D9Uk,171960
0.689,0.594,-7.645,0.0584,0.0301,0.0,0.102,0.653,137.112,5TIyFlLF0EfYOUZH1TYxBq,175693
0.736,0.78,-4.691,0.0938,0.06,0.0,0.104,0.586,93.927,5BhoSA4HfIzX1E1alpU2z0,148793
0.749,0.657,-9.077,0.0384,0.223,3.06e-05,0.0714,0.744,123.975,6sOrImz4sRva0mZOrzD6G3,187742
0.616,0.45,-9.832,0.114,0.529,1.58e-06,0.0926,0.195,123.851,3ehrCQoouv7NW8LRgcMvRF,207510
0.675,0.523,-7.598,0.0444,0.761,3.17e-06,0.109,0.376,94.025,1AHa2iLVTyjMisXwg0oMh1,195564
0.709,0.564,-8.551,0.16,0.158,0.0,0.132,0.486,129.954,1AfnNYRD6zZtmpnxZRZRBo,137975
0.669,0.618,-6.977,0.142,0.0955,0.0,0.286,0.531,94.994,32oPHgOrixSCfqsETHDSaq,212842
0.504,0.509,-5.803,0.0304,0.7,1.18e-05,0.105,0.377,183.962,7E4Is95Vk6YQ777AQRGiVO,168009
0.807,0.438,-9.596,0.182,0.028,0.0,0.454,0.793,114.994,26ORKiTdampbfuv4Zno5su,143500
0.685,0.597,-7.955,0.279,0.0163,0.0,0.398,0.504,140.03,76zUp5zTxfcXTPvCfkRzgm,217391
0.747,0.573,-6.562,0.295,0.268,0.0,0.302,0.551,90.036,5srKMwXoeyrRnyTnNbpgIW,142766
