danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.715,0.702,-6.537,0.0276,0.541,3.29e-06,0.156,0.544,95.968,28pd5Bel0V711pIA35ByC5,320000
0.615,0.682,-6.766,0.0391,0.0387,0.0291,0.0672,0.104,120.054,6M5DbihmQLh19d1lzPjOEP,228796
0.396,0.359,-12.063,0.0284,0.777,0.173,0.326,0.153,148.238,08IUe6MSdHn8wjvzDPWJ4G,214054
0.585,0.561,-6.466,0.237,0.00118,0.0,0.151,0.27,99.933,22W8ZAB8ntT8cvGKmvmDtb,198889
0.415,0.324,-11.532,0.0583,0.9,0.000233,0.0738,0.293,79.751,2wN6JKRfBPi12I2Tcra5Fu,222000
0.503,0.964,-6.631,0.342,0.00194,1.06e-06,0.124,0.439,159.968,0omaka6VcDMCscgjb22TvL,247500
0.594,0.451,-11.536,0.0297,0.67,0.0428,0.0853,0.332,160.051,4f1spv2bssB5VP9VGgzH1i,247875
0.346,0.369,-10.218,0.0601,0.843,2.3e-05,0.299,0.297,179.743,1zZ7e4u0RcZiHpS2S7NTZg,251716
0.629,0.655,-7.333,0.0439,0.000875,0.0983,0.103,0.216,126.028,0HmhnMWa3hr888ey4NwGvP,219151
0.292,0.108,-20.731,0.0388,0.217,0.712,0.0799,0.14,82.394,0wILaxXOhNBdHOzjTDEQxd,302279
0.608,0.899,-5.19,0.0746,0.00594,0.0256,0.277,0.836,94.997,25TNm0V8ufJxZDCa973etO,180870
0.385,0.655,-6.062,0.0381,0.0641,6.48e-06,0.0847,0.837,83.758,4DCMRZbEGdgS8IqcFRRGFu,353986
0.576,0.958,-2.807,0.152,0.121,0.0,0.289,0.82,136.929,1HGJRJimGMSU2sG9xWe3Ug,190459
0.55,0.836,-5.419,0.0335,5.67e-05,0.846,0.0689,0.243,129.989,2plV0R5CKqcmytsZK1g2iT,345385
0.612,0.514,-8.668,0.051,0.652,0.0,0.281,0.594,96.89,3cVXbMWbFpDfkZn0QfTyDg,192990
0.778,0.459,-10.226,0.0552,0.398,4.3e-05,0.115,0.694,130.965,2Pw3fDZ8b5K6J2TaLC4CjJ,177710
0.545,0.16,-19.024,0.0359,0.88,0.0115,0.0665,0.266,68.636,6o29mmEKEhzuie2wEYydUJ,238248
0.489,0.96,-5.266,0.0661,0.00015,0.00133,0.123,0.384,144.986,27n5BgvWecNdHeT8Aos7hc,328989
0.751,0.101,-21.05,0.058,0.955,0.734,0.104,0.358,116.8,5SrHoYIbiM21NGvGdjt4h4,221307
0.436,0.588,-4.074,0.0608,0.753,0.0,0.127,0.709,150.397,18PDAxdyUqsnFkIiewMJyJ,218624
0.62,0.68,-8.484,0.0384,0.495,0.000359,0.105,0.528,150.04,3Jepkd0hWXD3SZp9SWx6NL,198400
0.688,0.501,-9.857,0.113,0.0974,0.00855,0.133,0.247,105.025,2TnwQmBqGrZ5DHAYthQ5jv,132612
0.582,0.457,-9.835,0.0389,0.55,0.000298,0.0996,0.448,138.055,5wSDI8dbrB1wGmCqXTVcga,250435
0.752,0.313,-10.665,0.0489,0.636,2.03e-05,0.118,0.592,172.053,6GszjLOPC2UdIm3WGXCvWu,190961
0.662,0.975,-2.673,0.0634,0.0231,0.854,0.0782,0.44,150.007,0Xp4ZMN0QLCjZYM8YTN1Ap,211604
0.723,0.524,-7.317,0.0541,0.588,6.09e-06,0.0996,0.836,129.385,7mW7ZC7IdUeoKJHTQxdcRQ,160743
0.541,0.967,-4.357,0.0949,0.000225,0.000349,0.31,0.48,130.857,1bpll63bvql4gxJEA9BusL,303047
0.607,0.596,-10.551,0.0581,0.149,0.0,0.132,0.551,180.08,4C7606piAdbYdYdhYKfv3q,196000
0.646,0.805,-4.016,0.0361,0.153,0.0,0.136,0.452,99.991,5RBDCEfhInDoNAwFjKiBwT,183932
0.647,0.767,-6.915,0.0683,0.0287,0.0,0.205,0.58,100.021,14Z3zyyzsQWoSsTKeyPkuF,269375
0.608,0.437,-8.33,0.027,0.285,7.43e-06,0.111,0.128,126.906,26glSstejaooYaJPupEeRg,210052
0.673,0.634,-8.06,0.107,0.0716,0.0,0.0528,0.672,110.063,7IVhFvkomnlesYTGaekFen,210455
0.714,0.595,-7.208,0.0289,0.415,0.000643,0.0769,0.867,109.913,0CLaqQfZUJYMDwlWqQmR9g,235394
0.357,0.889,-2.693,0.0533,0.436,0.981,0.116,0.176,127.783,5a2sbXDpwuWq5lH0vhx8As,197553
0.478,0.181,-13.031,0.0369,0.902,5.3e-05,0.114,0.221,137.604,5SwWM6F5sF7OQ8kirmOysh,215500
0.569,0.73,-8.807,0.0331,0.2,0.465,0.0844,0.0355,100.002,1blXG0xomTMieIiEouggWL,439322
0.406,0.417,-9.685,0.0284,0.0359,0.0163,0.0951,0.0869,150.056,5aGo3KIpRZLG0MZJDK7vUI,225600
0.538,0.683,-5.314,0.0252,0.0247,2.08e-05,0.101,0.384,102.07,3PbjlFmSgjloXq9fOx81q9,277867
0.793,0.481,-7.772,0.0316,0.511,0.578,0.102,0.486,109.99,3pau1tlZZXpxPiDg3znIzM,218182
0.486,0.15,-15.22,0.0347,0.837,0.0,0.147,0.304,101.204,6ED4bKw7a6dQj0URNtLk41,167019
0.612,0.676,-6.869,0.03,0.0342,3.11e-05,0.0963,0.297,106.03,32HkvXIp0lCUCgrpcThghK,230000
0.719,0.475,-8.995,0.0422,0.0188,4.84e-06,0.152,0.245,70.077,2OLwcqpu9W9vkqXM5ISKyt,250082
0.673,0.845,-4.901,0.0272,0.233,0.000141,0.65,0.741,100.015,29UivOmVKmfjrQvGcGl25x,193123
0.341,0.928,-4.748,0.0798,0.0172,0.798,0.101,0.188,104.646,0LJae1xkg94QcCJIKOKagu,299143
0.291,0.953,-3.869,0.147,2.41e-05,0.843,0.0921,0.293,140.038,3JqVsGsc4gnImxjpw6X7Wr,317877
0.908,0.598,-7.332,0.375,0.00399,0.0,0.145,0.486,90.034,4mwKmNyp5K5NERRE6REBfA,194659
0.202,0.671,-7.827,0.0359,0.0117,0.832,0.0877,0.138,170.038,068rCoggBD7f9UMPoj85Uh,407667
0.489,0.864,-5.071,0.0756,0.243,0.894,0.108,0.926,200.035,2sQCNh4f5ox72vYarn91do,259253
0.31,0.523,-8.813,0.0548,0.927,0.000116,0.333,0.254,74.277,473AMQOe3F7k7e1ZKjRRvO,189794
0.612,0.534,-7.259,0.0284,0.47,0.0,0.0742,0.765,99.852,2KhhPOgPwkWo6p5gzQC2xc,252723
0.457,0.16,-14.767,0.0347,0.828,0.0,0.118,0.406,144.003,0LhFXYDYDszjj9SpdZ2G2P,207083
0.611,0.643,-7.373,0.0567,0.734,0.00802,0.115,0.544,199.941,0LxjyUcnAWbbbfnYn9oSfo,191731
0.742,0.765,-7.294,0.0966,0.543,0.000227,0.287,0.44,123.036,2grqPAhRXy6NXufg5cGsBu,192000
0.33,0.563,-8.703,0.0367,0.064,0.00156,0.166,0.181,140.001,7tuIuxqReqeIcW8F8Np9vm,291619
0.821,0.608,-8.183,0.0899,0.217,4.7e-05,0.122,0.559,102.963,4jHWwgKTo9UWjoOhm1bYfU,209715
